URL;URL_LENGTH;NUMBER_SPECIAL_CHARACTERS;CHARSET;SERVER;CONTENT_LENGTH;WHOIS_COUNTRY;WHOIS_STATEPRO;WHOIS_REGDATE;WHOIS_UPDATED_DATE;TCP_CONVERSATION_EXCHANGE;DIST_REMOTE_TCP_PORT;REMOTE_IPS;APP_BYTES;SOURCE_APP_PACKETS;REMOTE_APP_PACKETS;SOURCE_APP_BYTES;REMOTE_APP_BYTES;APP_PACKETS;DNS_QUERY_TIMES;Type
M0_109;16;7;iso-8859-1;nginx;263;None;None;10/10/2015 18:21;None;7;0;2;700;9;10;1153;832;9;2;1
B0_2314;16;6;UTF-8;Apache/2.4.10;15087;None;None;None;None;17;7;4;1230;17;19;1265;1230;17;0;0
B0_911;16;6;us-ascii;Microsoft-HTTPAPI/2.0;324;None;None;None;None;0;0;0;0;0;0;0;0;0;0;0
B0_113;17;6;ISO-8859-1;nginx;162;US;AK;7/10/1997 4:00;12/09/2013 0:45;31;22;3;3812;39;37;18784;4380;39;8;0
B0_403;17;6;UTF-8;None;124140;US;TX;12/05/1996 0:00;11/04/2017 0:00;57;2;5;4278;61;62;129889;4586;61;4;0
B0_2064;18;7;UTF-8;nginx;NA;SC;Mahe;3/08/2016 14:30;3/10/2016 3:45;11;6;9;894;11;13;838;894;11;0;0
B0_462;18;6;iso-8859-1;Apache/2;345;US;CO;29/07/2002 0:00;1/07/2016 0:00;12;0;3;1189;14;13;8559;1327;14;2;0
B0_1128;19;6;us-ascii;Microsoft-HTTPAPI/2.0;324;US;FL;18/03/1997 0:00;19/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
M2_17;20;5;utf-8;nginx/1.10.1;NA;None;None;8/11/2014 7:41;None;0;0;0;0;2;3;213;146;2;2;1
M3_75;20;5;utf-8;nginx/1.10.1;NA;None;None;8/11/2014 7:41;None;0;0;0;0;2;1;62;146;2;2;1
B0_1013;20;6;utf-8;Apache;NA;US;Kansas;14/09/2007 0:00;9/09/2015 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1102;20;6;us-ascii;Microsoft-HTTPAPI/2.0;324;US;CO;22/11/2016 0:00;23/11/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_22;20;7;utf-8;None;13716;GB;None;11/10/2002 0:00;6/10/2016 0:00;16;6;8;1492;20;20;2334;1784;20;4;0
B0_482;20;6;ISO-8859-1;nginx;3692;None;None;14/11/2002 0:00;19/04/2015 0:00;25;19;4;3946;35;29;16408;4746;35;10;0
B0_869;20;7;ISO-8859-1;Apache/2.2.15 (Red Hat);13054;None;None;None;None;0;0;0;0;0;0;0;0;0;0;0
M0_71;21;7;ISO-8859-1;Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4;957;UK;None;16/07/2000 0:00;4/07/2015 0:00;7;0;1;717;11;10;1960;1011;11;4;1
M0_97;21;7;iso-8859-1;nginx;686;RU;Novosibirskaya obl.;25/05/2013 0:00;23/05/2016 0:00;6;0;2;603;8;9;1580;745;8;2;1
B0_2303;21;6;us-ascii;Microsoft-HTTPAPI/2.0;324;None;None;9/08/1999 0:00;10/02/2015 0:00;7;7;3;618;7;9;562;618;7;0;0
B0_584;21;6;utf-8;nginx;15025;None;None;None;None;13;1;5;1099;15;17;15476;1243;15;2;0
M0_69;22;7;us-ascii;Microsoft-HTTPAPI/2.0;324;US;CO;15/09/2013 0:00;25/02/2017 0:00;9;0;4;850;11;9;1354;994;11;2;1
B0_161;22;6;utf-8;openresty/1.11.2.1;NA;US;CA;3/07/1999 0:00;7/08/2015 0:00;39;29;6;3833;43;42;22495;4125;43;4;0
B0_2122;22;6;iso-8859-1;nginx;318;US;Tennessee;2/11/2003 0:00;29/06/2015 0:00;8;6;6;696;8;10;636;696;8;0;0
B0_2176;22;6;iso-8859-1;Apache/2.2.22;224;None;None;12/08/2008 22:10;13/07/2016 17:36;4;3;2;420;4;6;372;420;4;0;0
B0_569;22;7;utf-8;Apache/2.4.7 (Ubuntu);4421;AU;Vi;21/05/2009 0:00;15/05/2016 0:00;12;0;2;2259;16;12;5165;2559;16;4;0
B0_601;22;6;UTF-8;nginx/1.12.0;NA;US;FL;1/08/2002 0:00;22/03/2016 0:00;6;0;3;650;10;10;1417;950;10;4;0
B0_884;22;6;ISO-8859-1;Apache;441;US;OR;13/01/2005 0:00;2/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_905;22;6;ISO-8859-1;nginx/1.12.0;NA;US;Texas;18/05/2005 19:41;19/05/2016 10:14;0;0;0;0;0;0;0;0;0;0;0
B0_916;22;6;utf-8;nginx;6671;CA;ALBERTA;4/01/2001 0:00;3/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_102;23;6;utf-8;Apache;NA;US;FL;28/02/2008 10:58;14/02/2017 20:27;16;3;11;1696;18;20;13422;1844;18;2;0
B0_1130;23;6;iso-8859-1;Apache/2.4.12 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4;434;PA;PANAMA;8/12/2006 0:00;14/12/2015 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1185;23;6;us-ascii;Microsoft-HTTPAPI/2.0;324;se;None;16/06/2000 0:00;18/05/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1369;23;6;utf-8;nginx;13001;None;None;None;None;0;0;0;0;0;0;0;0;0;0;0
