label,message
ham,I don't know but I'm raping dudes at poker
ham,What time you thinkin of goin?
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop"
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,No b4 Thursday
ham,Ok i am on the way to railway
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
ham,Dear got bus directly to calicut
ham,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
ham,Wish u many many returns of the day.. Happy birthday vikky..
spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
ham,Hello! Good week? Fancy a drink or something later?
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
ham,Did you stitch his trouser
ham,S da..al r above  &lt;#&gt;
ham,I'm going for bath will msg you next  &lt;#&gt;  min..
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
ham,It means u could not keep ur words.
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,how tall are you princess?
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,K.k.how is your business now?
ham,HELLO PEACH! MY CAKE TASTS LUSH!
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
ham,Please tell me you have some of that special stock you were talking about
ham,"Yo, you around? Just got my car back"
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
ham,Thnx dude. u guys out 2nite?
ham,Yup bathe liao...
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
ham,Hey company elama po mudyadhu.
ham,How much you got for cleaning
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
ham,If you have belive me. Come to my home.
ham,What are youdoing later? Sar xxx
ham,Shall i send that exe to your mail id.
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
ham,I want to go to perumbavoor
ham,As in i want custom officer discount oh.
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,Wat uniform? In where get?
ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
spam,RCT' THNQ Adrian for U text. Rgds Vatian
ham,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.
ham,Just getting back home
ham,"U so lousy, run already come back then half dead... Hee..."
ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
ham,Or just do that 6times
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
ham,What r u cooking me for dinner?
ham,When i have stuff to sell i.ll tell you
ham,"I'm in solihull, | do you want anything?"
ham,Watching ajith film ah?
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
ham,Dear we got  &lt;#&gt;  dollars hi hi
ham,How much for an eighth?
ham,Its sunny in california. The weather's just cool
ham,Dont let studying stress you out. L8r.
ham,Ok... But bag again..
ham,In that case I guess I'll see you at campus lodge
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
spam,"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
ham,Yes:)here tv is always available in work place..
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
ham,Just sleeping..and surfing
ham,I dont know exactly could you ask chechi.
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
ham,And do you have any one that can teach me how to ship cars.
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
ham,"Thanks da thangam, i feel very very happy dear. I also miss you da."
ham,We left already we at orchard now.
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,"Aight, can you text me the address?"
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
ham,I AM AT THE GAS STATION. GO THERE.
ham,Ill call you evening ill some ideas.
ham,I have no idea where you are
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,She went to attend another two rounds today..but still did't reach home..
ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
ham,What's up. Do you want me to come online?
ham,"Best Regards, HackTheBox"
ham,"Hey, HackTheBox I have a question about hacking"
